epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1609.41,1.13404,0.65716,0.97584,0.91927,0.92183,0.9642,0.60053,1.22949,0.71336,1.02968,0.0005348,0.0005348,0.0005348
76,1631.29,1.14741,0.67121,0.97519,0.91695,0.92438,0.96563,0.57372,1.27386,0.7502,1.04,0.000515,0.000515,0.000515
77,1652.74,1.16104,0.67703,0.983,0.92483,0.92444,0.96331,0.58008,1.27188,0.74189,1.03706,0.0004952,0.0004952,0.0004952
78,1674.55,1.14067,0.66781,0.97914,0.9174,0.92599,0.96188,0.59226,1.21485,0.74454,1.03205,0.0004754,0.0004754,0.0004754
79,1696.26,1.14126,0.66398,0.97834,0.93538,0.93068,0.9666,0.61041,1.21248,0.69105,1.03086,0.0004556,0.0004556,0.0004556
80,1717.77,1.13218,0.6586,0.97597,0.91623,0.92778,0.96814,0.60248,1.22141,0.70555,1.03122,0.0004358,0.0004358,0.0004358
81,1739.4,1.12458,0.65576,0.98031,0.9331,0.91951,0.97043,0.59979,1.24562,0.72476,1.03795,0.000416,0.000416,0.000416
82,1760.98,1.11661,0.65247,0.97383,0.92848,0.92826,0.96884,0.60993,1.20923,0.69803,1.0333,0.0003962,0.0003962,0.0003962
83,1782.17,1.10375,0.64719,0.96945,0.91926,0.92712,0.96526,0.59628,1.23999,0.7228,1.03409,0.0003764,0.0003764,0.0003764
84,1803.61,1.1102,0.64513,0.97464,0.92175,0.93941,0.96899,0.6156,1.20546,0.69369,1.03029,0.0003566,0.0003566,0.0003566
85,1825,1.11248,0.64698,0.97575,0.92919,0.92196,0.96486,0.60318,1.2209,0.72019,1.03143,0.0003368,0.0003368,0.0003368
86,1846.19,1.09661,0.64084,0.97202,0.93086,0.93319,0.97184,0.60912,1.23556,0.69684,1.03363,0.000317,0.000317,0.000317
87,1867.64,1.09431,0.64242,0.97717,0.93198,0.9302,0.96961,0.61477,1.19765,0.70043,1.02901,0.0002972,0.0002972,0.0002972
88,1889.08,1.09889,0.6436,0.97634,0.93388,0.93698,0.97285,0.62293,1.19233,0.67876,1.02636,0.0002774,0.0002774,0.0002774
