IoU,AvgIOU,TP,FP,FN,Precision,Recall,F1,file,folder,model
0.9500000000000004,0.4213154712158818,0,19,19,0.0,0.0,0.0,MIT_130,train,best_yolov8s.pt
0.5,0.8291190711289624,20,0,0,1.0,1.0,1.0,MIT_132,train,best_yolov8s.pt
0.55,0.8291190711289624,20,0,0,1.0,1.0,1.0,MIT_132,train,best_yolov8s.pt
0.6000000000000001,0.8291190711289624,20,0,0,1.0,1.0,1.0,MIT_132,train,best_yolov8s.pt
0.6500000000000001,0.7896372124791003,19,1,1,0.95,0.95,0.95,MIT_132,train,best_yolov8s.pt
0.7000000000000002,0.7209731100315309,17,3,3,0.85,0.85,0.85,MIT_132,train,best_yolov8s.pt
0.7500000000000002,0.7209731100315309,17,3,3,0.85,0.85,0.85,MIT_132,train,best_yolov8s.pt
0.8000000000000003,0.6909325650319065,16,4,4,0.8,0.8,0.8,MIT_132,train,best_yolov8s.pt
0.8500000000000003,0.5349155392510574,9,11,11,0.45,0.45,0.45,MIT_132,train,best_yolov8s.pt
0.9000000000000004,0.46062171641879457,4,16,16,0.2,0.2,0.2,MIT_132,train,best_yolov8s.pt
0.9500000000000004,0.425189277602796,1,19,19,0.05,0.05,0.05,MIT_132,train,best_yolov8s.pt
0.5,0.8319240764344268,20,0,0,1.0,1.0,1.0,MIT_134,train,best_yolov8s.pt
0.55,0.8319240764344268,20,0,0,1.0,1.0,1.0,MIT_134,train,best_yolov8s.pt
0.6000000000000001,0.8319240764344268,20,0,0,1.0,1.0,1.0,MIT_134,train,best_yolov8s.pt
0.6500000000000001,0.8319240764344268,20,0,0,1.0,1.0,1.0,MIT_134,train,best_yolov8s.pt
0.7000000000000002,0.7923086461097126,19,1,1,0.95,0.95,0.95,MIT_134,train,best_yolov8s.pt
0.7500000000000002,0.7562946183780906,18,2,2,0.9,0.9,0.9,MIT_134,train,best_yolov8s.pt
0.8000000000000003,0.6655392678029338,15,5,5,0.75,0.75,0.75,MIT_134,train,best_yolov8s.pt
0.8500000000000003,0.5041964198913998,7,13,13,0.35,0.35,0.35,MIT_134,train,best_yolov8s.pt
0.9000000000000004,0.44968870029524094,3,17,17,0.15,0.15,0.15,MIT_134,train,best_yolov8s.pt
0.9500000000000004,0.4159620486162641,0,20,20,0.0,0.0,0.0,MIT_134,train,best_yolov8s.pt
0.5,0.8565472316642819,20,0,0,1.0,1.0,1.0,MIT_136,train,best_yolov8s.pt
0.55,0.8565472316642819,20,0,0,1.0,1.0,1.0,MIT_136,train,best_yolov8s.pt
0.6000000000000001,0.8565472316642819,20,0,0,1.0,1.0,1.0,MIT_136,train,best_yolov8s.pt
0.6500000000000001,0.8565472316642819,20,0,0,1.0,1.0,1.0,MIT_136,train,best_yolov8s.pt
0.7000000000000002,0.8565472316642819,20,0,0,1.0,1.0,1.0,MIT_136,train,best_yolov8s.pt
0.7500000000000002,0.815759270193981,19,1,1,0.95,0.95,0.95,MIT_136,train,best_yolov8s.pt
0.8000000000000003,0.7448236845656168,17,3,3,0.85,0.85,0.85,MIT_136,train,best_yolov8s.pt
0.8500000000000003,0.6118194599290504,12,8,8,0.6,0.6,0.6,MIT_136,train,best_yolov8s.pt
0.9000000000000004,0.4629985142387664,3,17,17,0.15,0.15,0.15,MIT_136,train,best_yolov8s.pt
0.9500000000000004,0.42827362653898116,0,20,20,0.0,0.0,0.0,MIT_136,train,best_yolov8s.pt
0.5,0.8129388600335375,19,0,1,1.0,0.95,0.97,MIT_137,train,best_yolov8s.pt
0.55,0.8129388600335375,19,0,1,1.0,0.95,0.97,MIT_137,train,best_yolov8s.pt
0.6000000000000001,0.8129388600335375,19,0,1,1.0,0.95,0.97,MIT_137,train,best_yolov8s.pt
0.6500000000000001,0.8129388600335375,19,0,1,1.0,0.95,0.97,MIT_137,train,best_yolov8s.pt
0.7000000000000002,0.8129388600335375,19,0,1,1.0,0.95,0.97,MIT_137,train,best_yolov8s.pt
0.7500000000000002,0.7742274875896249,18,1,2,0.95,0.9,0.92,MIT_137,train,best_yolov8s.pt
0.8000000000000003,0.7390353306624673,17,2,3,0.89,0.85,0.87,MIT_137,train,best_yolov8s.pt
0.8500000000000003,0.6774490556733564,15,4,5,0.79,0.75,0.77,MIT_137,train,best_yolov8s.pt
0.9000000000000004,0.43942642092387,2,17,18,0.11,0.1,0.1,MIT_137,train,best_yolov8s.pt
0.9500000000000004,0.4168917332491764,0,19,20,0.0,0.0,0.0,MIT_137,train,best_yolov8s.pt
0.5,0.8246312268725444,20,0,1,1.0,0.95,0.98,MIT_138,train,best_yolov8s.pt
0.55,0.8246312268725444,20,0,1,1.0,0.95,0.98,MIT_138,train,best_yolov8s.pt
0.6000000000000001,0.8246312268725444,20,0,1,1.0,0.95,0.98,MIT_138,train,best_yolov8s.pt
0.6500000000000001,0.8246312268725444,20,0,1,1.0,0.95,0.98,MIT_138,train,best_yolov8s.pt
0.7000000000000002,0.8246312268725444,20,0,1,1.0,0.95,0.98,MIT_138,train,best_yolov8s.pt
0.7500000000000002,0.8246312268725444,20,0,1,1.0,0.95,0.98,MIT_138,train,best_yolov8s.pt
0.8000000000000003,0.7871479909912121,19,1,2,0.95,0.9,0.93,MIT_138,train,best_yolov8s.pt
