IoU,AvgIOU,TP,FP,FN,Precision,Recall,F1,file,folder,model
0.35,0.8426212117554028,20,0,0,1.0,1.0,1.0,MIT_126,train,best.pt
0.39999999999999997,0.8426212117554028,20,0,0,1.0,1.0,1.0,MIT_126,train,best.pt
0.44999999999999996,0.8426212117554028,20,0,0,1.0,1.0,1.0,MIT_126,train,best.pt
0.49999999999999994,0.8426212117554028,20,0,0,1.0,1.0,1.0,MIT_126,train,best.pt
0.2,0.7582001199752771,20,0,0,1.0,1.0,1.0,MIT_127,train,best.pt
0.25,0.7582001199752771,20,0,0,1.0,1.0,1.0,MIT_127,train,best.pt
0.3,0.7582001199752771,20,0,0,1.0,1.0,1.0,MIT_127,train,best.pt
0.35,0.7582001199752771,20,0,0,1.0,1.0,1.0,MIT_127,train,best.pt
0.39999999999999997,0.7582001199752771,20,0,0,1.0,1.0,1.0,MIT_127,train,best.pt
0.44999999999999996,0.7582001199752771,20,0,0,1.0,1.0,1.0,MIT_127,train,best.pt
0.49999999999999994,0.7582001199752771,20,0,0,1.0,1.0,1.0,MIT_127,train,best.pt
0.2,0.8282279926333405,19,0,0,1.0,1.0,1.0,MIT_130,train,best.pt
0.25,0.8282279926333405,19,0,0,1.0,1.0,1.0,MIT_130,train,best.pt
0.3,0.8282279926333405,19,0,0,1.0,1.0,1.0,MIT_130,train,best.pt
0.35,0.8282279926333405,19,0,0,1.0,1.0,1.0,MIT_130,train,best.pt
0.39999999999999997,0.8282279926333405,19,0,0,1.0,1.0,1.0,MIT_130,train,best.pt
0.44999999999999996,0.8282279926333405,19,0,0,1.0,1.0,1.0,MIT_130,train,best.pt
0.49999999999999994,0.8282279926333405,19,0,0,1.0,1.0,1.0,MIT_130,train,best.pt
0.2,0.870173918632065,20,0,0,1.0,1.0,1.0,MIT_132,train,best.pt
0.25,0.870173918632065,20,0,0,1.0,1.0,1.0,MIT_132,train,best.pt
0.3,0.870173918632065,20,0,0,1.0,1.0,1.0,MIT_132,train,best.pt
0.35,0.870173918632065,20,0,0,1.0,1.0,1.0,MIT_132,train,best.pt
0.39999999999999997,0.870173918632065,20,0,0,1.0,1.0,1.0,MIT_132,train,best.pt
0.44999999999999996,0.870173918632065,20,0,0,1.0,1.0,1.0,MIT_132,train,best.pt
0.49999999999999994,0.870173918632065,20,0,0,1.0,1.0,1.0,MIT_132,train,best.pt
0.2,0.8567630189183267,20,0,0,1.0,1.0,1.0,MIT_134,train,best.pt
0.25,0.8567630189183267,20,0,0,1.0,1.0,1.0,MIT_134,train,best.pt
0.3,0.8567630189183267,20,0,0,1.0,1.0,1.0,MIT_134,train,best.pt
0.35,0.8567630189183267,20,0,0,1.0,1.0,1.0,MIT_134,train,best.pt
0.39999999999999997,0.8567630189183267,20,0,0,1.0,1.0,1.0,MIT_134,train,best.pt
0.44999999999999996,0.8567630189183267,20,0,0,1.0,1.0,1.0,MIT_134,train,best.pt
0.49999999999999994,0.8567630189183267,20,0,0,1.0,1.0,1.0,MIT_134,train,best.pt
0.2,0.8217272700149789,20,0,0,1.0,1.0,1.0,MIT_136,train,best.pt
0.25,0.8217272700149789,20,0,0,1.0,1.0,1.0,MIT_136,train,best.pt
0.3,0.8217272700149789,20,0,0,1.0,1.0,1.0,MIT_136,train,best.pt
0.35,0.8217272700149789,20,0,0,1.0,1.0,1.0,MIT_136,train,best.pt
0.39999999999999997,0.8217272700149789,20,0,0,1.0,1.0,1.0,MIT_136,train,best.pt
0.44999999999999996,0.8217272700149789,20,0,0,1.0,1.0,1.0,MIT_136,train,best.pt
0.49999999999999994,0.8217272700149789,20,0,0,1.0,1.0,1.0,MIT_136,train,best.pt
0.2,0.8302577475009701,20,0,0,1.0,1.0,1.0,MIT_137,train,best.pt
0.25,0.8302577475009701,20,0,0,1.0,1.0,1.0,MIT_137,train,best.pt
0.3,0.8302577475009701,20,0,0,1.0,1.0,1.0,MIT_137,train,best.pt
0.35,0.8302577475009701,20,0,0,1.0,1.0,1.0,MIT_137,train,best.pt
0.39999999999999997,0.8302577475009701,20,0,0,1.0,1.0,1.0,MIT_137,train,best.pt
0.44999999999999996,0.8302577475009701,20,0,0,1.0,1.0,1.0,MIT_137,train,best.pt
0.49999999999999994,0.8302577475009701,20,0,0,1.0,1.0,1.0,MIT_137,train,best.pt
0.2,0.8349127401689701,21,0,0,1.0,1.0,1.0,MIT_138,train,best.pt
0.25,0.8349127401689701,21,0,0,1.0,1.0,1.0,MIT_138,train,best.pt
0.3,0.8349127401689701,21,0,0,1.0,1.0,1.0,MIT_138,train,best.pt
0.35,0.8349127401689701,21,0,0,1.0,1.0,1.0,MIT_138,train,best.pt
0.39999999999999997,0.8349127401689701,21,0,0,1.0,1.0,1.0,MIT_138,train,best.pt
0.44999999999999996,0.8349127401689701,21,0,0,1.0,1.0,1.0,MIT_138,train,best.pt
0.49999999999999994,0.8349127401689701,21,0,0,1.0,1.0,1.0,MIT_138,train,best.pt
